price,battery_capacity,ram_capacity,internal_memory,screen_size,cpu_benchmark,hashed_brand_name,hashed_model,avg_rating
65999.0,4323.0,6,256.0,6.7,11205.0,25971227,74887406,6.18
72999.0,4323.0,6,512.0,6.7,11205.0,25971227,75100508,6.47
52999.0,3285.0,6,128.0,6.06,11205.0,25971227,99538819,4.71
60999.0,4532.0,8,128.0,6.71,11205.0,25971227,3691506,5.59
63999.0,5000.0,8,128.0,6.06,12246.0,25971227,32345597,5.59
85799.0,4352.0,8,256.0,6.68,12246.0,25971227,45973348,6.76
3199.0,2230.0,3,32.0,4.7,2068.0,25971227,58284766,7.06
8599.0,2050.0,3,64.0,4.7,4425.0,25971227,24886762,1.47
6999.0,1821.0,3,64.0,4.7,5728.0,25971227,69496927,2.06
29999.0,2200.0,4,64.0,4.7,9902.0,25971227,8196674,5.0
12599.0,3060.0,4,64.0,6.1,5012.0,25971227,32341614,1.18
13000.0,6000.0,8,128.0,6.78,4613.0,63301573,94242475,9.12
17500.0,6000.0,12,256.0,6.78,9362.0,63301573,65138805,8.82
30000.0,6000.0,16,256.0,6.78,9362.0,63301573,39950146,9.41
23500.0,6000.0,18,512.0,6.78,9362.0,63301573,89273829,9.41
21500.0,6000.0,16,512.0,6.78,7855.0,63301573,33108948,7.06
24999.0,6000.0,18,256.0,6.8,9362.0,63301573,21935698,9.12
22500.0,4300.0,8,128.0,5.9,7855.0,63301573,99519356,8.82
7000.0,3520.0,4,128.0,6.0,2211.0,45519331,46781365,3.82
6300.0,3700.0,4,64.0,6.0,2431.0,45519331,29834329,3.24
7799.0,2800.0,6,64.0,5.7,5547.0,45519331,47641879,6.47
10599.0,4080.0,8,128.0,6.0,3853.0,45519331,27849454,7.65
10095.0,4620.0,6,128.0,6.34,3853.0,45519331,25511405,6.47
7899.0,4614.0,8,128.0,6.4,6698.0,45519331,47606147,8.24
8999.0,5003.0,12,128.0,6.71,6698.0,45519331,82825402,9.71
9999.0,5003.0,12,256.0,6.71,6698.0,45519331,3083621,7.06
8599.0,4410.0,6,128.0,6.14,6698.0,45519331,65333429,4.41
11500.0,4355.0,8,128.0,6.3,7380.0,45519331,30218615,8.82
