price,avg_rating,battery_capacity,ram_capacity,internal_memory,screen_size,cpu_benchmark,hashed_brand_name,hashed_model
6999.0,6.3,1821,3,64.0,4.7,5728.0,25971227,69496927
29999.0,7.3,2200,4,64.0,4.7,9902.0,25971227,8196674
12599.0,6.0,3060,4,64.0,6.1,5012.0,25971227,32341614
13000.0,8.7,6000,8,128.0,6.78,4613.0,63301573,94242475
17500.0,8.6,6000,12,256.0,6.78,9362.0,63301573,65138805
30000.0,8.8,6000,16,256.0,6.78,9362.0,63301573,39950146
23500.0,8.8,6000,18,512.0,6.78,9362.0,63301573,89273829
21500.0,0.0,6000,16,512.0,6.78,7855.0,63301573,33108948
24999.0,8.7,6000,18,256.0,6.8,9362.0,63301573,21935698
22500.0,8.6,4300,8,128.0,5.9,7855.0,63301573,99519356
7000.0,6.9,3520,4,128.0,6.0,2211.0,45519331,46781365
6300.0,6.7,3700,4,64.0,6.0,2431.0,45519331,29834329
7799.0,7.8,2800,6,64.0,5.7,5547.0,45519331,47641879
10599.0,8.2,4080,8,128.0,6.0,3853.0,45519331,27849454
10095.0,7.8,4620,6,128.0,6.34,3853.0,45519331,25511405
7899.0,8.4,4614,8,128.0,6.4,6698.0,45519331,47606147
8999.0,8.9,5003,12,128.0,6.71,6698.0,45519331,82825402
9999.0,0.0,5003,12,256.0,6.71,6698.0,45519331,3083621
8599.0,7.1,4410,6,128.0,6.14,6698.0,45519331,65333429
11500.0,8.6,4355,8,128.0,6.3,7380.0,45519331,30218615
13799.0,0.0,5000,12,128.0,6.7,7380.0,45519331,83215948
12500.0,6.9,4410,6,128.0,6.1,7380.0,45519331,27142951
13899.0,7.5,4830,8,128.0,6.6,8133.0,45519331,36449085
15899.0,8.0,5000,12,256.0,6.73,8133.0,45519331,59324740
3700.0,6.6,3000,4,64.0,5.84,1893.0,44984231,12112635
62999.0,0.0,4500,12,512.0,6.53,3965.0,44984231,89948620
21500.0,0.0,4400,8,128.0,6.76,4350.0,44984231,77496805
25999.0,8.5,4500,8,256.0,6.76,5230.0,44984231,9296903
78999.0,8.1,4700,12,512.0,6.74,5230.0,44984231,51918181
32999.0,0.0,4500,8,512.0,8.0,3350.0,44984231,68722961
44999.0,8.9,4600,8,512.0,7.8,3965.0,44984231,55864022
15000.0,8.2,4000,8,128.0,6.67,6074.0,44984231,84911666
16599.0,8.4,4500,8,256.0,6.67,6074.0,44984231,88584853
13999.0,8.1,4200,8,128.0,6.4,1320.0,44984231,30426143
18999.0,8.3,4300,8,128.0,6.57,5553.0,44984231,72907365
19999.0,8.4,4000,8,128.0,6.78,5553.0,44984231,24961796
